S;I;R;S->I;I->R;I->S;R->S;a;b;c;e;R0
159200;800;0;506;328;101;0;0.000004;0.410000;0.074487;0.000000;1.312063
158795;877;328;554;345;112;33;0.000004;0.393387;0.077469;0.100610;1.351778
158386;974;640;675;382;115;71;0.000004;0.392197;0.071763;0.110937;1.508923
157897;1152;951;692;478;127;94;0.000004;0.414931;0.064500;0.098843;1.269621
157426;1239;1335;735;524;153;146;0.000004;0.422922;0.071261;0.109363;1.220033
156990;1297;1713;717;523;154;154;0.000004;0.403238;0.070857;0.089901;1.188397
156581;1337;2082;842;478;169;218;0.000004;0.357517;0.081211;0.104707;1.466783
156126;1532;2342;806;600;188;237;0.000003;0.391645;0.074655;0.101196;1.156262
155745;1550;2705;824;631;189;265;0.000003;0.407097;0.072296;0.097967;1.139226
155375;1554;3071;875;632;190;304;0.000004;0.406692;0.072541;0.098991;1.209898
154994;1607;3399;907;650;207;370;0.000004;0.404480;0.076710;0.108856;1.210820
154664;1657;3679;906;690;191;342;0.000004;0.416415;0.067269;0.092960;1.169431
154291;1682;4027;956;687;186;420;0.000004;0.408442;0.065416;0.104296;1.243835
153941;1765;4294;996;688;214;421;0.000004;0.389802;0.073984;0.098044;1.264627
153580;1859;4561;962;793;191;479;0.000003;0.426573;0.058916;0.105021;1.110456
153288;1837;4875;967;740;243;489;0.000003;0.402831;0.078994;0.100308;1.140355
153053;1821;5126;973;754;207;510;0.000003;0.414058;0.066606;0.099493;1.162088
152797;1833;5370;888;693;228;559;0.000003;0.378069;0.077360;0.104097;1.113873
152696;1800;5504;871;716;218;498;0.000003;0.397778;0.072936;0.090480;1.077163
152541;1737;5722;886;689;249;589;0.000003;0.396661;0.086489;0.102936;1.107351
152493;1685;5822;896;666;213;563;0.000003;0.395252;0.076446;0.096702;1.182807
152373;1702;5925;936;698;211;638;0.000004;0.410106;0.073130;0.107679;1.195003
152286;1729;5985;928;664;196;639;0.000004;0.384037;0.069826;0.106767;1.242477
152193;1797;6010;964;698;218;616;0.000004;0.388425;0.074192;0.102496;1.219081
152063;1845;6092;901;773;190;603;0.000003;0.418970;0.059835;0.098982;1.073164
151955;1783;6262;916;716;214;629;0.000003;0.401570;0.071825;0.100447;1.142681
151882;1769;6349;908;707;218;669;0.000003;0.399661;0.073982;0.105371;1.141618
151861;1752;6387;977;704;209;589;0.000004;0.401826;0.071357;0.092219;1.241664
151682;1816;6502;965;733;191;624;0.000004;0.403634;0.062723;0.095970;1.201927
151532;1857;6611;957;713;220;655;0.000003;0.383953;0.072984;0.099077;1.190858
151450;1881;6669;996;779;200;675;0.000003;0.414141;0.062292;0.101215;1.174137
151329;1898;6773;997;779;246;644;0.000003;0.410432;0.076414;0.095083;1.140788
151222;1870;6908;951;711;238;717;0.000003;0.380214;0.078882;0.103793;1.172035
151226;1872;6902;965;769;216;662;0.000003;0.410791;0.067986;0.095914;1.139154
151139;1852;7009;950;713;250;685;0.000003;0.384989;0.083020;0.097731;1.160304
151124;1839;7037;931;733;194;689;0.000003;0.398586;0.063444;0.097911;1.160069
151076;1843;7081;963;738;236;701;0.000003;0.400434;0.076776;0.098997;1.159621
151050;1832;7118;956;765;226;710;0.000003;0.417576;0.071849;0.099747;1.129393
151030;1797;7173;920;730;242;720;0.000003;0.406233;0.079962;0.100376;1.115543
151072;1745;7183;905;671;221;710;0.000003;0.384527;0.077948;0.098844;1.187683
151098;1758;7144;900;686;225;666;0.000003;0.390216;0.078044;0.093225;1.157704
151089;1747;7164;848;703;208;698;0.000003;0.402404;0.071151;0.097432;1.085475
151147;1684;7169;897;647;221;690;0.000004;0.384204;0.080814;0.096248;1.212553
151161;1713;7126;940;669;200;692;0.000004;0.390543;0.071157;0.097109;1.258031
151113;1784;7103;919;713;213;703;0.000003;0.399664;0.071677;0.098972;1.157188
151110;1777;7113;878;731;192;716;0.000003;0.411367;0.063600;0.100661;1.101463
151140;1732;7128;951;694;212;653;0.000004;0.400693;0.073356;0.091611;1.226168
151054;1777;7169;899;714;200;707;0.000003;0.401801;0.067327;0.098619;1.142271
151062;1762;7176;909;662;241;708;0.000003;0.375709;0.085388;0.098662;1.185031
151102;1768;7130;900;707;222;717;0.000003;0.399887;0.075354;0.100561;1.134218
151141;1739;7120;950;700;218;699;0.000004;0.402530;0.074898;0.098174;1.211304
151108;1771;7121;922;716;199;727;0.000003;0.404291;0.066937;0.102092;1.169804
151112;1778;7110;926;729;226;726;0.000003;0.410011;0.074993;0.102110;1.136985
151138;1749;7113;903;709;219;712;0.000003;0.405374;0.074456;0.100098;1.139086
151166;1724;7110;917;669;197;694;0.000004;0.388051;0.069927;0.097609;1.229287
151140;1775;7085;865;685;198;717;0.000003;0.385915;0.068501;0.101200;1.135284
151190;1757;7053;904;709;208;699;0.000003;0.403529;0.070612;0.099107;1.148381
151193;1744;7063;895;685;219;679;0.000003;0.392775;0.076251;0.096135;1.157890
151196;1735;7069;909;662;217;676;0.000003;0.381556;0.077350;0.095629;1.208148
151180;1765;7055;918;698;227;690;0.000003;0.395467;0.077750;0.097803;1.163223
151179;1758;7063;947;723;186;710;0.000004;0.411263;0.062290;0.100524;1.203903
151128;1796;7076;964;715;214;689;0.000004;0.398107;0.071718;0.097371;1.209511
151067;1831;7102;915;771;223;698;0.000003;0.421081;0.070507;0.098282;1.076667
151073;1752;7175;837;713;184;702;0.000003;0.406963;0.062282;0.097840;1.078261
151122;1692;7186;871;706;188;682;0.000003;0.417258;0.064749;0.094907;1.130725
151121;1669;7210;836;644;204;719;0.000003;0.385860;0.075066;0.099723;1.150574
151208;1657;7135;860;654;199;736;0.000003;0.394689;0.072696;0.103153;1.175023
151283;1664;7053;836;659;192;689;0.000003;0.396034;0.069688;0.097689;1.140922
151328;1649;7023;841;647;205;679;0.000003;0.392359;0.075541;0.096682;1.152453
151371;1638;6991;818;637;175;658;0.000003;0.388889;0.065290;0.094121;1.162225
151386;1644;6970;875;671;186;721;0.000004;0.408151;0.066961;0.103443;1.183981
151418;1662;6920;830;655;203;764;0.000003;0.394103;0.074005;0.110405;1.127308
151555;1634;6811;807;664;193;671;0.000003;0.406365;0.070117;0.098517;1.094270
151612;1584;6804;855;625;177;688;0.000004;0.394571;0.067652;0.101117;1.232384
151622;1637;6741;785;652;178;658;0.000003;0.398290;0.065427;0.097612;1.091254
151673;1592;6735;797;670;174;659;0.000003;0.420854;0.063299;0.097847;1.090798
